candidate,fold,accuracy,auc,best_monitor_auc_from_training,training_epoch_saved,confusion_matrix,metric_file
hidden_channels_128,1,0.7407407407407407,0.8791208791208791,0.7460869565217392,25,"[[21, 5], [9, 19]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_1\tables\fgdn\AAL\10_fold\fold_1\best_evaluation.json
hidden_channels_128,2,0.6792452830188679,0.6914285714285714,0.7930434782608695,24,"[[20, 5], [12, 16]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_2\tables\fgdn\AAL\10_fold\fold_2\best_evaluation.json
hidden_channels_128,3,0.6792452830188679,0.7142857142857143,0.8052173913043478,11,"[[19, 6], [11, 17]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_3\tables\fgdn\AAL\10_fold\fold_3\best_evaluation.json
hidden_channels_128,4,0.7358490566037735,0.8071428571428572,0.808695652173913,28,"[[16, 9], [5, 23]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_4\tables\fgdn\AAL\10_fold\fold_4\best_evaluation.json
hidden_channels_128,5,0.5660377358490566,0.6114285714285714,0.768695652173913,14,"[[15, 10], [13, 15]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_5\tables\fgdn\AAL\10_fold\fold_5\best_evaluation.json
hidden_channels_128,6,0.660377358490566,0.8034188034188032,0.8017391304347826,24,"[[21, 5], [13, 14]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_6\tables\fgdn\AAL\10_fold\fold_6\best_evaluation.json
hidden_channels_128,7,0.7735849056603774,0.8746438746438746,0.7652173913043478,31,"[[21, 5], [7, 20]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_7\tables\fgdn\AAL\10_fold\fold_7\best_evaluation.json
hidden_channels_128,8,0.7169811320754716,0.8048433048433048,0.7043478260869566,14,"[[17, 9], [6, 21]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_8\tables\fgdn\AAL\10_fold\fold_8\best_evaluation.json
hidden_channels_128,9,0.6037735849056604,0.6552706552706552,0.8208695652173914,26,"[[16, 10], [11, 16]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_9\tables\fgdn\AAL\10_fold\fold_9\best_evaluation.json
hidden_channels_128,10,0.5660377358490566,0.7264957264957265,0.7913043478260869,24,"[[11, 15], [8, 19]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\hidden_channels_128\fold_10\tables\fgdn\AAL\10_fold\fold_10\best_evaluation.json
template_k_10,1,0.7222222222222222,0.8365384615384616,0.76,27,"[[21, 5], [10, 18]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_1\tables\fgdn\AAL\10_fold\fold_1\best_evaluation.json
template_k_10,2,0.6415094339622641,0.7000000000000001,0.7478260869565218,28,"[[19, 6], [13, 15]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_2\tables\fgdn\AAL\10_fold\fold_2\best_evaluation.json
template_k_10,3,0.6792452830188679,0.7342857142857142,0.8278260869565217,24,"[[16, 9], [8, 20]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_3\tables\fgdn\AAL\10_fold\fold_3\best_evaluation.json
template_k_10,4,0.7358490566037735,0.7871428571428571,0.7617391304347827,37,"[[20, 5], [9, 19]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_4\tables\fgdn\AAL\10_fold\fold_4\best_evaluation.json
template_k_10,5,0.5849056603773585,0.6157142857142858,0.7460869565217392,23,"[[16, 9], [13, 15]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_5\tables\fgdn\AAL\10_fold\fold_5\best_evaluation.json
template_k_10,6,0.7169811320754716,0.792022792022792,0.7895652173913043,41,"[[21, 5], [10, 17]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_6\tables\fgdn\AAL\10_fold\fold_6\best_evaluation.json
template_k_10,7,0.7735849056603774,0.8162393162393161,0.8104347826086957,63,"[[18, 8], [4, 23]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_7\tables\fgdn\AAL\10_fold\fold_7\best_evaluation.json
template_k_10,8,0.7358490566037735,0.8162393162393162,0.7060869565217391,19,"[[19, 7], [7, 20]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_8\tables\fgdn\AAL\10_fold\fold_8\best_evaluation.json
template_k_10,9,0.5471698113207547,0.6381766381766382,0.8121739130434783,36,"[[14, 12], [12, 15]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_9\tables\fgdn\AAL\10_fold\fold_9\best_evaluation.json
template_k_10,10,0.6037735849056604,0.725071225071225,0.76,28,"[[13, 13], [8, 19]]",D:\FGDN_Project\outputs\ablations\AAL_10fold_final\template_k_10\fold_10\tables\fgdn\AAL\10_fold\fold_10\best_evaluation.json
