candidate,fold,accuracy,auc,best_monitor_auc_from_training,training_epoch_saved,confusion_matrix,metric_file
cheb_k_1,1,0.6915887850467289,0.7520979020979021,0.7424242424242424,40,"[[38, 14], [19, 36]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\cheb_k_1\fold_1\tables\fgdn\AAL\5_fold\fold_1\best_evaluation.json
cheb_k_1,2,0.7075471698113207,0.7868092691622103,0.7380952380952381,39,"[[35, 16], [15, 40]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\cheb_k_1\fold_2\tables\fgdn\AAL\5_fold\fold_2\best_evaluation.json
cheb_k_1,3,0.5754716981132075,0.7087344028520499,0.725108225108225,34,"[[32, 19], [26, 29]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\cheb_k_1\fold_3\tables\fgdn\AAL\5_fold\fold_3\best_evaluation.json
cheb_k_1,4,0.7358490566037735,0.8106951871657754,0.803030303030303,61,"[[37, 14], [14, 41]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\cheb_k_1\fold_4\tables\fgdn\AAL\5_fold\fold_4\best_evaluation.json
cheb_k_1,5,0.5943396226415094,0.6777183600713013,0.8203463203463204,50,"[[31, 20], [23, 32]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\cheb_k_1\fold_5\tables\fgdn\AAL\5_fold\fold_5\best_evaluation.json
combined_top,1,0.6822429906542056,0.7517482517482517,0.7294372294372294,46,"[[37, 15], [19, 36]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\combined_top\fold_1\tables\fgdn\AAL\5_fold\fold_1\best_evaluation.json
combined_top,2,0.7264150943396226,0.798217468805704,0.7554112554112554,51,"[[33, 18], [11, 44]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\combined_top\fold_2\tables\fgdn\AAL\5_fold\fold_2\best_evaluation.json
combined_top,3,0.5849056603773585,0.6901960784313725,0.7575757575757576,35,"[[32, 19], [25, 30]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\combined_top\fold_3\tables\fgdn\AAL\5_fold\fold_3\best_evaluation.json
combined_top,4,0.7169811320754716,0.801782531194296,0.7727272727272727,61,"[[39, 12], [18, 37]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\combined_top\fold_4\tables\fgdn\AAL\5_fold\fold_4\best_evaluation.json
combined_top,5,0.6509433962264151,0.7101604278074866,0.8095238095238094,56,"[[30, 21], [16, 39]]",D:\FGDN_Project\outputs\ablations\AAL_5fold_confirm\combined_top\fold_5\tables\fgdn\AAL\5_fold\fold_5\best_evaluation.json
