atlas,kind,num_folds,fold,study,param,value,template_mode,run_id,output_root
AAL,tangent,5,1,knn,template_k,5,binary,template_k_5_fold_1,outputs/ablations/AAL/knn/template_k_5_fold_1
AAL,tangent,5,1,knn,template_k,10,binary,template_k_10_fold_1,outputs/ablations/AAL/knn/template_k_10_fold_1
AAL,tangent,5,1,knn,template_k,20,binary,template_k_20_fold_1,outputs/ablations/AAL/knn/template_k_20_fold_1
AAL,tangent,5,1,knn,template_k,30,binary,template_k_30_fold_1,outputs/ablations/AAL/knn/template_k_30_fold_1
AAL,tangent,5,1,knn,template_k,40,binary,template_k_40_fold_1,outputs/ablations/AAL/knn/template_k_40_fold_1
AAL,tangent,5,1,cheb_k,cheb_k,1,binary,cheb_k_1_fold_1,outputs/ablations/AAL/cheb_k/cheb_k_1_fold_1
AAL,tangent,5,1,cheb_k,cheb_k,2,binary,cheb_k_2_fold_1,outputs/ablations/AAL/cheb_k/cheb_k_2_fold_1
AAL,tangent,5,1,cheb_k,cheb_k,3,binary,cheb_k_3_fold_1,outputs/ablations/AAL/cheb_k/cheb_k_3_fold_1
AAL,tangent,5,1,cheb_k,cheb_k,4,binary,cheb_k_4_fold_1,outputs/ablations/AAL/cheb_k/cheb_k_4_fold_1
AAL,tangent,5,1,cheb_k,cheb_k,5,binary,cheb_k_5_fold_1,outputs/ablations/AAL/cheb_k/cheb_k_5_fold_1
AAL,tangent,5,1,dropout,dropout,0.0,binary,dropout_0p0_fold_1,outputs/ablations/AAL/dropout/dropout_0p0_fold_1
AAL,tangent,5,1,dropout,dropout,0.1,binary,dropout_0p1_fold_1,outputs/ablations/AAL/dropout/dropout_0p1_fold_1
AAL,tangent,5,1,dropout,dropout,0.3,binary,dropout_0p3_fold_1,outputs/ablations/AAL/dropout/dropout_0p3_fold_1
AAL,tangent,5,1,dropout,dropout,0.5,binary,dropout_0p5_fold_1,outputs/ablations/AAL/dropout/dropout_0p5_fold_1
AAL,tangent,5,1,hidden_channels,hidden_channels,16,binary,hidden_channels_16_fold_1,outputs/ablations/AAL/hidden_channels/hidden_channels_16_fold_1
AAL,tangent,5,1,hidden_channels,hidden_channels,32,binary,hidden_channels_32_fold_1,outputs/ablations/AAL/hidden_channels/hidden_channels_32_fold_1
AAL,tangent,5,1,hidden_channels,hidden_channels,64,binary,hidden_channels_64_fold_1,outputs/ablations/AAL/hidden_channels/hidden_channels_64_fold_1
AAL,tangent,5,1,hidden_channels,hidden_channels,128,binary,hidden_channels_128_fold_1,outputs/ablations/AAL/hidden_channels/hidden_channels_128_fold_1
AAL,tangent,5,1,lr,lr,1e-05,binary,lr_1em05_fold_1,outputs/ablations/AAL/lr/lr_1em05_fold_1
AAL,tangent,5,1,lr,lr,5e-05,binary,lr_5em05_fold_1,outputs/ablations/AAL/lr/lr_5em05_fold_1
AAL,tangent,5,1,lr,lr,0.0001,binary,lr_0p0001_fold_1,outputs/ablations/AAL/lr/lr_0p0001_fold_1
AAL,tangent,5,1,lr,lr,0.0005,binary,lr_0p0005_fold_1,outputs/ablations/AAL/lr/lr_0p0005_fold_1
AAL,tangent,5,1,weight_decay,weight_decay,0.0,binary,weight_decay_0p0_fold_1,outputs/ablations/AAL/weight_decay/weight_decay_0p0_fold_1
AAL,tangent,5,1,weight_decay,weight_decay,1e-05,binary,weight_decay_1em05_fold_1,outputs/ablations/AAL/weight_decay/weight_decay_1em05_fold_1
AAL,tangent,5,1,weight_decay,weight_decay,0.0005,binary,weight_decay_0p0005_fold_1,outputs/ablations/AAL/weight_decay/weight_decay_0p0005_fold_1
AAL,tangent,5,1,weight_decay,weight_decay,0.001,binary,weight_decay_0p001_fold_1,outputs/ablations/AAL/weight_decay/weight_decay_0p001_fold_1
AAL,tangent,5,1,batch_size,batch_size,8,binary,batch_size_8_fold_1,outputs/ablations/AAL/batch_size/batch_size_8_fold_1
AAL,tangent,5,1,batch_size,batch_size,16,binary,batch_size_16_fold_1,outputs/ablations/AAL/batch_size/batch_size_16_fold_1
AAL,tangent,5,1,batch_size,batch_size,32,binary,batch_size_32_fold_1,outputs/ablations/AAL/batch_size/batch_size_32_fold_1
AAL,tangent,5,1,weighted_vs_unweighted,template_mode,binary,binary,template_mode_binary_fold_1,outputs/ablations/AAL/weighted_vs_unweighted/template_mode_binary_fold_1
AAL,tangent,5,1,weighted_vs_unweighted,template_mode,weighted,weighted,template_mode_weighted_fold_1,outputs/ablations/AAL/weighted_vs_unweighted/template_mode_weighted_fold_1
